Username,Komentar,Likes,Waktu
@Protoset,"Controversial opinion but I like iPhone better.

My first phone was an iphone 6. At that time, I was a careless teen who mistreated my phone (slamming it face-down on a desk, throwing it across the room after raging, etc.). My phone finally broke after 4 - 5 years of use. I got a Samsung because it was cheaper. I think it was a month or two later when I threw my phone onto the mattress, and the screen shattered. I did it many times with apple, and it lasted 4 years. My Samsung phone didn't even make it 1/4 of the year.",0,2026-01-10T22:19:33Z
@albertrock1247,"Iphone is predominantly rule over the younger generation because there are so many thing that the younger people wanted to mess with the looks or style, games and that is what most older people doesn't care about. What does a person with a skill of being so good playing these games, does that contribute on our daily livings? Look what has been happening to our world because os modernization our world is facing horrific financial crisis. Android for me is a very friendly user and easy device to work with preferably for the older uses. I don't mind if there are many changes of lifestyle as long as it will benefitable in our daily living. Remember modern world cannot be consider to be part of history because from whichever era that is where history started. These younger generation doesn't really appreciate and doesn't care whatever our forefathers has done to this world. Of course whatever crisis that we now now facing , it's the younger generation will face and suffer. Iphone maybe so advance in many way such as in business industry and that is why our world is facing a world class inflation. The only people dominating and favorable in making their lives fortunate are the riches people.",0,2026-01-09T13:34:19Z
@Dan-z2c3n,Samsung is the Real Representative of Android though,0,2026-01-09T00:30:26Z
@Another-Address,It's like that old battle between VHS and Beta. Only more drawn out over time.,0,2026-01-08T17:47:15Z
@NeoUltimatePower,But 2 years later your prediction came true CES 2026 Samsung announced the Music Studio Speaker😂😂 meanwhile it looks like a vertical toilet😅,0,2026-01-07T12:31:18Z
@NeoUltimatePower,Literally I feel like in a nut shell you could just say iPhone says oh these people got money but they're dumb Android says oh these people are smart and want freedom it's that simple and it's not that hard to find a button the problem is people want new things but wanna stay the same and comfortable you can't have it both ways you gotta learn to adapt,0,2026-01-07T12:27:25Z
@NeoUltimatePower,I disagree with ease of use because you don't have to use any extra feature that's y people ask why all the feature settings don't be turned on out the box so you can get the basic experience unless you choose to experiment.. the key here is choice that's always been the distinction android gives you freedom of choice.. use it or don't but it's there for you is way better then it's just not there cause you're not that smart like😂,0,2026-01-07T12:24:43Z
@TheRaptorWranglerCreates,"I had a 2006 explorer, and just last week traded it in for a 2014 Cadillac Escalade. Everything about it is an upgrade, but I still miss the Explorer anyways",0,2026-01-03T00:44:23Z
@derixxhub,Android is the admin,0,2026-01-02T03:03:04Z
@jessiepvlogs8948,Android a lot more customisable but i use iPhone as it’s simple,0,2025-12-27T05:46:24Z
@Maxipad2025,In process,0,2025-12-21T21:25:39Z
@Cr7-Player3106,❤,0,2025-12-20T07:27:58Z
@BrunoDillon-c6v,Let me guess..the answer is that they are both good in their own way.,0,2025-12-17T11:42:25Z
@CrazyCobraCC,"Marques, we definitely need a 2025 edition of this",0,2025-12-15T21:18:03Z
@Tickbeat,"2:13 SERIOUSLY?
Okay, if I had ever even come close to being convinced of buying an iPhone then, I definitely am not getting one now. Holy crap.",0,2025-12-12T17:04:45Z
@atefmahmoud1884,"hi 
I like you so much 
but I think that you judge by the American consumer view 
you should take care that there is a lot of pore countries like what android offers
thanks",0,2025-12-11T14:24:41Z
@mikaeladolfsson4437,I miss the category privacy …,0,2025-12-11T08:32:10Z
@KT-c2m,Life was much easier when smartphones didn’t exist. 🤔,1,2025-12-09T22:35:42Z
@edwardcold7431,Open source decentralized clear winner android,0,2025-12-06T10:19:58Z
@justincredible.,Apple has nothing in SAMSUNG! Apple is Samsung´s biggest client! Google it! 30 to 40% of your phone is made by SAMSUNG!,0,2025-12-03T14:20:20Z
@Jack-u4k2z,"I think Google's ecosystem is better. Android and Gemini run on every damn screen, PC, smart speaker and refrigerator of the world. Android is open and accessible (at least til now), Apple is locked down and proprietary",0,2025-11-30T00:53:04Z
@minartistrie,"Ecosystem goes both ways because ecosystem is the main reason for me to avoid all Apple products and services.
If Apple systems were open and inter-operable with devices from other brands like most Android-focused devices then I might as well try an Apple device that looks cool if it does what I need at a good price.
But because of Apple's ecosystem it feels a lot more ""all or nothing"" which is a major barrier.
I guess the ""walled garden"" keeps some people in but also keeps others out.",0,2025-11-26T16:07:16Z
@agentlaw7069,"facil de usar no lo creo RICK ... continuista si,  pero la facilidad de uso de algo tiene que ver precisamente con eso con el uso, si te pasas de un sistema a otro probablemente ambos tendran puntos de quiebre importantes!
el detalle de la optimizacion de las apps tiene que ver en que uno es un SISTEMA OPERATIVO ABIERTO y el OTRO NO!",0,2025-11-25T21:38:48Z
@marinsrok6100,Can't belive you gave the apps to a phone company that doesn't let you install whatever you wish,0,2025-11-25T21:28:33Z
@MonicaHarrison-k2b,The lighting split on both sides of the room for the blue bubble/green bubble is absolutely genius. That's a lovely detail amongst many,0,2025-11-22T10:02:08Z
@thesharanaithal,2025 update video?,1,2025-11-15T17:02:47Z
@taylor-Eph2,🍎,0,2025-11-15T10:34:44Z
@aruto3680,"yeah old ass iphones are still getting updates, but apple will realease an update that slows the older phones so you buy a new one lol",0,2025-11-13T12:50:37Z
@turnnexg6398,"Any one outside USA canada and Europe would go for Android. Any one in USA canada and Europe, iphone or  both",0,2025-11-12T22:16:39Z
@aaronparis4714,I’m pretty old school I like speed and i like apple i find it easier to use and i used android first but at the end of the day all phones are great now man you cant go wrong really with any of the new ones,0,2025-11-10T22:32:31Z
@BanSandre_original,67,1,2025-11-09T18:33:41Z
@GizzleFr,"The crazy part about this vid is realizing that android runs across multiple diff phone company’s (Samsung, google, etc) and iPhone is only Apple they come as one package. The fact that iPhones are able to do what they do is all the work of Apple themselves (yes even if they copy a feature whether it’s better or worse). Some android phones have diff features than others and that’s the work of whatever specific phone company that has those features, but cmon now. You have to give Apple credit for that. Android as a whole has multiple diff phones and phone company’s running its software personally I feel like they should be miles ahead of Apple but they’re just not. They may be ahead to some people I can admit, but their no where near as far ahead as they should be and a lot would say Apple is ahead.",0,2025-11-09T04:27:43Z
@Shmuelfriedrich,Wa need a new 2025 update,0,2025-11-02T00:46:16Z
@edouardsuenson2568,"Apple Stores are everywhere! Most be a US think, never seen a Apple store. My One Plus 9 is 6 years old, still getting OS updates",0,2025-10-29T09:10:31Z
@blacklistedarchaeology,"I just bought an iPhone 16e: the phone won't start after its scheduled OS update last night.
It also took 2 days to be able to log in to the app store due to Apple's ultra-idiotic ""security process"", which can take 2 weeks to a month to resolve.
Add to that the lack of an 1/8"" audio jack, so you have to do everything via bluetooth, or buy another adapter to simply use wired earbuds. 
I would return this if I could, however, I have already paid for service through AT&T.
GET AN ANDROID!!!",0,2025-10-26T16:14:07Z
@seattlegrrlie,"I bought the 1+ for ultra fast charging. Some of my friends just don't get it, but it still excites me one year later",0,2025-10-26T03:28:09Z
@YaserAlharbi-eg7jw,2025 version ?,1,2025-10-25T10:55:57Z
@rx-heaven8934,"With this criteria, in 2025 Android should take the cake. The emission of APKs for consideration was unfair, but now Samsung offers 7 years of security and software updates. 

My additional category would be ethics, as this is something that's hopefully becoming more front of mind for smart consumers. There's good and bad on both sides, but Android offers more choice of ethical companies. Personally, Apple's corporate greed and stance against the right to repair makes me sick.",1,2025-10-23T09:39:10Z
@iancapul6548,You purposely made categories wherein you already knew the winner ease of use? 😂😂😂,0,2025-10-21T00:37:35Z
@vdubsterw2516,"And the amazing most best feature of android. Full blown root capability and unlock bootloaders, custom firmware and the list goes on once you go there.",0,2025-10-19T08:13:03Z
@MoiaMuraglia,Very reliable source of information.,0,2025-10-15T20:24:45Z
@Jadiss-Allen,What about cost? What  can you get for how much money your spending?,3,2025-10-13T00:43:05Z
@CharlesHernandez-e8p,The harmony is wonderful.,0,2025-10-11T21:07:00Z
@iluvkath07,Android is better (As a ex apple user),0,2025-10-10T04:27:36Z
@Frydren,"I got to say that going from zflip 3 to iphone 15 both that i bought used the setting up iphone felt like i was again trying to get my old 486 computer to work that had water damage because i salvaged it from the dumpster back in the day. Nothing about iphone makes sense at all everything is made difficult or impossible for zero reason other than for the reason to make it difficult.

During my years i have had so many phones and iphone takes the number one spot for the most convoluted crap to set up hell even my first own phone the Nokia ringo was more user friendly.",0,2025-10-08T17:30:07Z
@Briwilko5276,I’ve always loved Samsung phones. My first smart phone was the original Samsung galaxy and it was awesome. In fact up until my late 20’s I exclusively used galaxy devices. I switched to iPhone because everyone I worked with has one and it was easier to send pictures and use things like FaceTime. Now I have an iPad and AirPods and an Apple Watch and a 17 pro max. I’m so engrained in the ecosystem that at this point it doesn’t make sense to switch. I’d have to spend $2500 to replace everything.,0,2025-10-06T23:23:53Z
@naifalsaeedan5413,"I know android wins every category, I just wish they fix the bugs more often because the system is more customizable",0,2025-10-06T19:55:09Z
@robotsvs.humans,Android IS better,1,2025-10-06T04:26:00Z
@coffeeman882,"I think longevity is the most important category that didnt get mentioned and im not talking about software updates. Im talking about the phone slowing down due to degrading parts inside, losing responsiveness etc. I think thats one of the most important things to keep in mind. I would expect my phone to last at least 4 years while being reasonably fast and responsive.",1,2025-10-05T10:08:13Z
@lilduck-k7h,this video was ruined as soon as you made it fair for both sides,0,2025-10-03T22:28:15Z
@RedemptionGabeYT,iOS reminds of a game console basically.,0,2025-10-03T02:13:51Z
@steel5897,"As a non-American, the green bubble vs blue bubble thing is the most idiotic thing I've ever heard.",0,2025-09-28T04:57:07Z
@kadceo,Nice,0,2025-09-27T15:50:30Z
@Psych02,"Yeah like I NEVER NEVER customise, and I don’t care about excessive features. 

So for me the ecosystem and the ease of use and getting premium features over half baked features is what’s important.

So I feel like for people like me is just Iphone.",1,2025-09-24T17:36:53Z
@abdullahahmed1099,Bro why use Google pixel use an samsung,0,2025-09-21T06:32:15Z
@bekaarho,I use an iPhone as well. A pixel phone. One thing iPhone is missing is a browser that has the text-flow feature. The text old future makes it very easy to browse web sites because you can instantly expand the web page to whatever front page you like and the text just reflows instead of going outside the screen.,0,2025-09-21T01:01:15Z
@TheJoshuaJames,I disagree with iPhone being easier to use (and I'm an iPhone user) have you looked in the settings app? every new feature is some hidden gesture no one actually uses. My mom hates her new iPad,1,2025-09-18T00:39:13Z
@TheJoshuaJames,"Remember when everyone made really helpful calculator widgets on iPhone, then Apple was like WOAH HOl' UP, widget aren't for USEFUL stuff, only showing useless information. Or how about when everyone started coming up with clever uses for force touch then Apple was like WOAH HOL' UP, thats only for right clicking",0,2025-09-18T00:36:14Z
@vinayakgovitrikar354,I would like comparison on CAMERA .,0,2025-09-16T07:30:20Z
@26487913,"you call it ecosystem, i call it forced vendor locking",2,2025-09-14T03:37:54Z
@GoobYTpls,I love how unbiased and honest this is,0,2025-09-13T23:12:01Z
@eternaleggface,Samsung's new head of mobile has absolutely been dropping the ball and meanwhile Apple has come out with USBC. I think Apple is just really pulling ahead.,0,2025-09-12T14:59:25Z
@rune6506xx,IPhone is for kids. Siri is just crap,1,2025-09-12T06:49:36Z
@dragonsairship4935,"You forgot an super important category that keeps me on android, repairability.  And no, not even new apple products are repairable.  just look at actual repair score from ifixit its really bad compared to companies.",1,2025-09-12T05:32:06Z
@kozyartificial,Can you do this again with the 17 coming out. Even as a short would be helpful. Does most of this still pertain with iOS 26?,0,2025-09-11T19:58:56Z
@khaledwalid1256,I use this category to see the best for me and I found 6 for android and  1 for IOS,0,2025-09-11T12:13:05Z
@khaledwalid1256,"i think we need a second video in this time and this for the new features of samsung ui 7 and 8 with user experience and ai features and trust me it's totatly insane , and i like how you can on a one singel device like S25 Ultra , you can do all what your laptop and your console and your PC and your pro camera and your note taking book and ...",0,2025-09-11T12:08:48Z
@cholericchaos,Need a redo of this video for 2025,147,2025-09-07T16:51:52Z
@SKYS_SKYS,I agree,0,2025-09-05T00:17:49Z
@SKYS_SKYS,I approve both but I'm mainly android like marques and I'd say apple is good for simplicity and security I approve that there's some things,0,2025-09-05T00:10:41Z
@Christopher_Plain,"I like how you make all these points, but you don't talk about the prices 💀",1,2025-09-03T23:00:36Z
@blacklily250,Real winner is the friends we made along the way,0,2025-09-03T06:39:02Z
@ChefTom777,"The only important features or things that I need for my iphone is the security, longevity & sound quality.. that is why even if my primary phone is an android, I still use an old iphone xs max to use my online banking apps & the apple music player is just unmatched in an iphone.. I know we can install & use apple music & other music players with hires lossless capability but the apple product is just untouchable when it comes to audio quality.. the hardware & software the apple use in their phones, tablets are just in another level.. That is why ipods era is so popular in the early days of ipods.. apple is the best in audio quality.. but other than that, android is better in all other features.. price, options, customization, wide range phone models, endless features, etc.. there is na android phone for every different kinds of person.. I just wish android phone are as secure as the apple.. Because if someone stole an iphone, it cannot be unlocked to use it.. unlike android phones if you forgot the security passcode then there is a way to factory reset the android phone & then the other person can use it no problem..",0,2025-09-02T03:44:39Z
@MosquitoCr,No scheduled messages in ios.,0,2025-09-01T19:18:03Z
@hvdveer,You didn't mention the lack of control of notifications in Apple. Its brutal.,0,2025-09-01T17:05:45Z
@brokenskull1786,the back button of an iphone is a crime against humanity,0,2025-09-01T13:52:19Z
@Rayan-ct3rs,"I think I’m switching to android next year. I feel so limited by my iPhone, they didn’t even give me AI on my 14 pro max",1,2025-09-01T00:51:38Z
@drroth88,"Kind of late to the party, but not being able to buy stuff in the audible or kindle app is absolutely mind boggling. Funny how you just skim over this fact.",0,2025-08-31T09:57:52Z
@shkabo,"you have to keep in mind, apple is developing software for one hardware, for 2-3 fixed screen resolutions, while on android you can pick and choose screen and hardware, thus it's not really comparable in that manner",0,2025-08-31T05:34:29Z
@shackdaddy7106,There are two more categories you should’ve included camera and the most important category value. One thing nice about android phones is that they frequently go on sale. That never happens with Apple. Ever.,0,2025-08-30T17:28:46Z
@andycho4457,Apple do not have “Correct Way” please,0,2025-08-30T16:26:47Z
@kirilyakovlev6024,"For apple it’s much harder to develop mobile apps. As iOS developer you have to buy Mac, x code and expensive App Store license for publishing",1,2025-08-30T12:12:44Z
@mikakimi2558,cost is the one dictating... technology is for those who can afford it.,0,2025-08-29T02:42:51Z
@queenbeeader,"I have an iPhone 15 Pro Max and while there are some good things about it, I regret the purchase on the gaming front. Thermals and stability are absolutely terrible and in most cases I stay locked out of higher frame rate and graphics options, even before the phone heats up. I also don't agree with Apple's ways concerning locking down the ability to manage game caches that are tied to System - one game I play the most became corrupted and has still yet to be fixed. I got the phone though a family upgrade deal, but next time I am going to shell out for a quality Android gaming phone.",1,2025-08-28T20:43:33Z
@JohnL_S17,"honestly the android exosystem could be so amazing, considering kde connect exists. its amazing what it can do",1,2025-08-28T14:28:24Z
@horky1,I have an iPhone and will probably never switch because it does what I need it to and switching would be more effort than it is worth,0,2025-08-28T14:27:24Z
@JohnL_S17,personally i think android apps are way better and more open to the user so android wins for me,1,2025-08-28T14:26:17Z
@thesoftboxgamer,you cant say Android VS Iphone but you CAN say Samsung VS Apple,0,2025-08-27T20:18:08Z
@wemburnhere,you should have put the budget category,0,2025-08-27T16:15:20Z
@DoingBidding,"Ahhhem ahhhem... linux...father is linux sir,never forget everythings daddy...it's always LINUX",1,2025-08-26T19:20:08Z
@sharingangameplays8375,All I have to say is any console before PS4 can be emulated on android,2,2025-08-26T07:25:58Z
@jmgreenwood,now you can organize apps as desired on iphone - having one alone by itself on the bottom of the screen,1,2025-08-26T04:42:06Z
@Funboy2025,"For those of you that might want to know, Marques sounds like a latino heartthrob from a telenovela in Spanish, check it out, you'll get a laugh.😂",0,2025-08-25T19:11:04Z
@maneeshmutyam4460,"Android doesn't have Focus modes? I used it on my Nokia 6.1+ , a google one device back in 2020. iphone caught up just a little late, by at least 3 years.",1,2025-08-25T16:31:31Z
@RisingofFlameDragons,"I don’t do what you’re talking about you know changing widgets or nothing like that Apple is for my business. I don’t care about doing all that. I didn’t even do that with my android. I’m a simple person. I use the phone for work rideshare cause that’s what I do and other gig gaps Now there might be some cool stuff on android that I don’t have on my Apple, but my Apple is simple and I can use it for and I set it up the way I liked it. I use it for regular reasons. I never switched over to an Apple product until I knew they had YouTubeand ever since android or a.k.a. Google place switched out for YouTube music and you didn’t have the regular like Apple Music to set up because it reminds me of what Google and android used to be. I think android sucks now.",0,2025-08-25T14:01:40Z
@RisingofFlameDragons,I like iPhone because it gets the iOS system in it and I can connect to all my Apple devices at home. I got an Apple 4K TV that I can use my phone with and my tablet with and I got Apple CarPlay and AirTags that they’re all in their connectable android don’t do that. Andrew got some different systems with different phones and half of them can be hacked.,0,2025-08-25T13:57:54Z
@craigregnier3220,I will always be an android guy. Never even tried an iphone. Have less than no desire too.,0,2025-08-24T23:13:39Z
@abdullahkhalid7102,"Battery?
Camera?",1,2025-08-24T14:17:28Z
@rasheedinfinit7445,"The biggest factor is affordability. Sometimes it's not even a choice as a lot of people can't afford the apple products because they don't make midrange or cheap devices. 

Add to that the range of choices. One can prioritize performance over screen or battery size or water protection, not to mention the different android skins.

Another factor for choosing an iphone is jailbreak. That's been a whole universe of features and customizations, a lot of which was copied to Android. Activator for instance, I used to use and create gestures on iOS a decade before they became mainstream.",0,2025-08-24T11:26:33Z
@fernandoluis53,The ease of use is a lie. Iphone doesn't have a back button. Close all apps. Split screen. And force quit. That completely destroys the argument is easier,1,2025-08-24T01:11:46Z
@JimmyG2017,Winner is Android. Iphone is very good have nice features but when you try to use them when you dont have battery its very difficult ecosystem,1,2025-08-23T13:34:28Z
@Cred1Tor,censorship on iphone outweighs any other advantages it might have,0,2025-08-23T12:36:43Z
@Vexthewolf03,"So the majority of the world prefers iPhone, the nerdy crowd prefers android like myself! Got it! 😄",1,2025-08-22T13:05:29Z
@biggood-mq9ll,cant believe you gave apps to apple. first of all your fully wrong. secondly the fact that you cant install your own stuff sideloading is already the biggest setback for apple!!,2,2025-08-22T09:58:06Z
@rf3604,"Since most people are stupid & like to follow....they pick iPhone mostly. 
Kinda like Facebook vs MySpace. Only those of us who like to create our page with widgets actually preferred it to fk book boringness.",1,2025-08-21T00:02:53Z
@Woody6128,"Great video, but one category is missing ........... price (or ""price to entry"")",0,2025-08-20T22:45:46Z
@thepresidentialking9190,Best breakdown ever!,0,2025-08-20T22:44:44Z
@ByAsadSheikh,This video needs an update. . Many things have changed such as software updates.,0,2025-08-19T17:51:03Z
@micara981,"why the objective winner didn't ring when I called him 10 times and the alarm didn't ring too? hahaha this can be that, but it can't be the phone...",0,2025-08-17T21:32:24Z
@ricardoalves9605,"Insane to give the W to Apple on Apps and Ecosystem. For apps, fair enough you focused on quality, but for me the ability to get apps from anywhere I want or use .apk format is enough to easily declare Android the winner. As for the ecosystem that's a very US based take, I've never met anyone who actually cares about iMessage or facetime. They just the apps that everyone else uses, and all the advantages of said ecosystem just feel like they come as ""not having the disadvantage of not being able to use them"", which for me is reason enough to not like it.

 And no mention of reparability? That's a major feature and would have been a slam dunk for Android.",0,2025-08-17T19:32:19Z
@thetruther9521,"As an Android user for over 10 years . i only pay 15 dollars for my phone bill, I don't have to pay for any of the music on my phone. i control what & how I want for free . all I need is wifi in my house and I've been good",0,2025-08-17T14:52:04Z
@djkrixsta,I would say nokia,0,2025-08-16T04:09:38Z
@obviousbot,"In the updates/support category, why did you not talk about older iphones being slowed down on purpose by apple? One would think thats a pretty significant talking point, no? Kinda sus",0,2025-08-15T17:50:42Z
@Cool78250,17:45 the right side is literally me. I decided the points and then he listed this. Lol 😂,0,2025-08-15T01:24:39Z
@shelleyjavier,"I recently switched over to a samsung from using an iphone pretty much half of my life. I miss my apple ecosystem system the most and how certain apps work better on it. But android opened up a whole new world of possibilities aka customisation and phone features as simple as a universal back button that make my phone personally fun for me. At this point, even though there are things that bug me about the Android/samsung usability , I can't imagine going back to iOS. 

If Samsung comes out with  better Galaxy buds... That would really solidify me as an Android user.",0,2025-08-14T11:14:14Z
@berber-2,I ask chat GPT the real winner is Android android is popular now then Apple,0,2025-08-13T22:28:01Z
@LynziePlayz,Update on this please. And which one is safer in the long run,0,2025-08-13T22:12:48Z
@TechEnthusiast225,"3:47 No Marques, Samsung had this since years now. I have used this so many times.",0,2025-08-13T19:21:00Z
@siddharth7706,I live the way doesn't use ambient music in his videos while explaining stuff cuz that can impact ur decision making... 💯,0,2025-08-12T06:52:18Z
@DeadSesh,"This has aged not very well, this video is in desperate need of an update",4,2025-08-12T01:44:37Z
@evanoneill619,"You couldn't pay me to use ios, and i'm sure others feel the same way about android.",0,2025-08-11T20:34:08Z
@boringtree6052,"Android users like this comment 
(And dislike if apple user)",0,2025-08-11T06:53:13Z
@SonicBuzz2010,"Android is the better option, as they aren't a fortune.",0,2025-08-10T23:26:52Z
@CollineQuestionsEverything,"In Uganda my country, iphone users only buy them for 2 reasons; 1. Camera, 2. Social Status. And the biggest percentage of users iphone users are young women, celebrities and people who like to show off.",0,2025-08-09T10:58:11Z
@CollineQuestionsEverything,"As a Ugandan working in movie and music distribution, where Windows PCs are commonly used, when a client comes with an Android phone, I simply connect the device, scroll down, activate the file transfer protocol, and the transfer is done. However, for iPhone users, I must have iTunes and 3uTools installed first, then open 3uTools to transfer files, and this process only works on Windows 10 or higher. Therefore, in my experience, Android is the better option.",0,2025-08-09T10:35:25Z
@vikasnirala7936,you forgot automation feature,0,2025-08-09T09:42:15Z
@nothanks8624,"iPhone automatically loses. Apple is a horrible company. They design products to fail, they are over priced and shit on their customers.",1,2025-08-08T22:41:53Z
@TheDBall73,"I have always used apple for no particular reason other then my first smart phone was an iPhone 3.  If it ain’t broke don’t fix it.  Fast forward to today….. yesterday, Tim Cook presented some BS gift for drumpf in the white house.  For 15 years I’ve used only Apple, that changes now.  Well over a decade of buying apple products will now be shit down completely.  F Apple.",0,2025-08-08T00:56:13Z
@ananttrimbakey1095,"Ease of use is more in Android, than IOS.",0,2025-08-06T17:51:54Z
@Afcyzenn28,iphone still winn🎉🔥,1,2025-08-06T12:15:00Z
